lat,lon,target
100.2475931,14.27703212,1
100.2496141,14.47540718,1
100.2610732,14.48779874,1
100.2645901,14.23781807,1
100.2665807,14.19788646,1
100.2696109,14.33099543,1
100.2724751,14.3847408,1
100.2729297,14.46702001,1
100.2738687,14.42111327,1
100.2846711,14.31377507,1
100.2861701,14.43182243,1
100.2937326,14.27686364,1
100.2945078,14.49594652,1
100.3062714,14.24027133,1
100.3142414,14.3827463,1
100.3167895,14.21182023,1
100.3177014,14.41905585,1
100.3179139,14.34456727,1
100.3206265,14.13631919,1
100.3207784,14.47532731,1
100.3234724,14.31270916,1
100.3283187,14.44586473,1
100.3477862,14.25954318,1
100.3483569,14.29640652,1
100.3497192,14.49654615,1
100.3570788,14.473008,1
100.3588017,14.41951321,1
100.3590487,14.3754065,1
100.3604201,14.34796614,1
100.36176,14.48914899,1
100.3653778,14.33171661,1
100.3744201,14.24256981,1
100.3745937,14.14170754,1
100.3780867,14.29938313,1
100.3784184,14.44598972,1
100.3834984,14.46128833,1
100.3854333,14.49993623,1
100.3856517,14.41515738,1
100.3878208,14.43522213,1
100.3893962,14.47943155,1
100.3932475,14.39292808,1
100.3935069,14.30238516,1
100.3948301,14.35534322,1
100.395295,14.37358352,1
100.396538,14.32598461,1
100.3968884,14.27566051,1
100.3989764,14.19470385,1
100.4030733,14.24055123,1
100.4065782,14.49189565,1
100.4068655,14.43333634,1
100.4090338,14.50709411,1
100.4180283,14.34174615,1
100.4188407,14.16022054,1
100.4254064,14.30755669,1
100.4267128,14.43428328,1
100.4281188,14.41875615,1
100.4282624,14.38787294,1
100.4309525,14.23596181,1
100.4323492,14.44508724,1
100.4325037,14.40294347,1
100.4340055,14.13915924,1
100.4364963,14.37309486,1
100.4372862,14.33952345,1
100.4381417,14.18617499,1
100.4452659,14.29938491,1
100.4546091,14.34977859,1
100.4552197,14.28474248,1
100.4557141,14.4272209,1
100.4558125,14.31924155,1
100.4580154,14.40967269,1
100.4606146,14.21558613,1
100.4629909,14.36817873,1
100.4664833,14.23881909,1
100.4670112,14.39141722,1
100.4691343,14.27695236,1
100.4706219,14.25717782,1
100.4750347,14.30224084,1
100.4788562,14.3694685,1
100.4842811,14.14400434,1
100.4851371,14.40200011,1
100.4851475,14.45335976,1
100.4871416,14.18822393,1
100.4901522,14.1653225,1
100.4908097,14.33153992,1
100.4916974,14.60791935,1
100.4931811,14.52780875,1
100.4957227,14.53352343,1
100.4957789,14.43753733,1
100.4984135,14.23014552,1
100.4984602,14.31237186,1
100.4996654,14.62708077,1
100.5023647,14.25261875,1
100.5032127,14.65994544,1
100.5052964,14.46573401,1
100.5058472,14.2798951,1
100.5067155,14.3733321,1
100.508842,14.49186585,1
100.5089082,14.16865383,1
100.5098708,14.21932293,1
100.5105577,14.55785222,1
100.5116057,14.51097392,1
100.5150155,14.42053647,1
100.5158717,14.60671062,1
100.5167154,14.44467694,1
100.5208029,14.47164647,1
100.5231576,14.38814905,1
100.5240923,14.63883366,1
100.5241697,14.31163702,1
100.5244953,14.1794577,1
100.524868,14.57853136,1
100.5257618,14.33908522,1
100.5311709,14.5499006,1
100.5313137,14.44515465,1
100.5317838,14.53083924,1
100.5351655,14.6073875,1
100.535276,14.12490621,1
100.5386104,14.17738937,1
100.5401764,14.48986035,1
100.5405039,14.38317329,1
100.5408029,14.63463299,1
100.5432502,14.36548588,1
100.545963,14.29144743,1
100.5473888,14.35265948,1
100.5476547,14.37328451,1
100.5487812,14.20256685,1
100.5491235,14.24987555,1
100.5491709,14.57544081,1
100.5506487,14.56343575,1
100.5515971,14.5103618,1
100.5531898,14.41533823,1
100.5548717,14.39658096,1
100.5551859,14.36810148,1
100.5556731,14.30356618,1
100.5583983,14.63950327,1
100.5586648,14.22553203,1
100.562397,14.46154936,1
100.5625944,14.48871127,1
100.5633725,14.54756715,1
100.5635329,14.52508072,1
100.5702788,14.24508069,1
100.5718415,14.60374179,1
100.5719533,14.66183937,1
100.5723901,14.40983603,1
100.5743364,14.44614605,1
100.5754284,14.50107551,1
100.5771282,14.64512974,1
100.5780994,14.38366122,1
100.5786286,14.29465234,1
100.5806846,14.31442887,1
100.5810679,14.46847825,1
100.581966,14.42211384,1
100.5824852,14.41879472,1
100.5828056,14.65714541,1
100.5828991,14.66424697,1
100.5835355,14.57134752,1
100.5884748,14.53494839,1
100.5914709,14.27567882,1
100.5991014,14.16173927,1
100.6009538,14.30344554,1
100.6014092,14.33049496,1
100.6014347,14.23753102,1
100.6037679,14.50817352,1
100.6073585,14.48997632,1
100.6085115,14.53042704,1
100.6118841,14.37831721,1
100.6169437,14.54421682,1
100.6178498,14.55117925,1
100.6179195,14.25712742,1
100.6182163,14.21731544,1
100.6220214,14.30172116,1
100.6255341,14.35141908,1
100.6270207,14.37262121,1
100.6283942,14.34246337,1
100.6309547,14.20162616,1
100.6345066,14.25700523,1
100.6388013,14.17377256,1
100.644575,14.27390206,1
100.6626433,14.37087086,1
100.6626647,14.2908515,1
100.6660586,14.24323755,1
100.6712955,14.31521581,1
100.6759565,14.18546003,1
100.6885703,14.36660176,1
100.6891457,14.38835925,1
100.6913785,14.46095525,1
100.7042887,14.28288596,1
100.7246528,14.32805778,1
100.7248991,14.33848184,1
100.7417778,14.26859206,1
100.7565367,14.29922769,1
100.7583339,14.32518733,1
100.7749934,14.33237996,1
